Query	Quality Threshold	Repetition	Unfairness
Query 1	θ = 0.98	134471	0.282993
Query 2	θ = 0.88	91067	0.048804
Query 1	θ = 0.48	10771	0.080099
Query 1	θ = 0.98	164643	0.300521
Query 2	θ = 0.98	99204	0.063798
Query 1	θ = 0.78	136280	0.123314
Query 1	θ = 0.28	102655	0.01
Query 3	θ = 0.98	495	0.099005
Query 1	θ = 0.78	45752	0.186431
Query 3	θ = 0.48	152674	0.01
Query 3	θ = 0.28	50951	0.01
Query 3	θ = 0.78	171198	0.083432
Query 2	θ = 0.88	143884	0.028565
Query 2	θ = 0.98	168933	0.088131
Query 2	θ = 0.88	142189	0.029153
Query 3	θ = 0.78	50228	0.133974
Query 1	θ = 0.88	102373	0.255635
Query 1	θ = 0.48	57841	0.050201
Query 3	θ = 0.78	171439	0.083348
Query 1	θ = 0.88	164507	0.227498
Query 1	θ = 0.98	140500	0.286739
Query 2	θ = 0.28	148419	0.01
Query 2	θ = 0.28	27818	0.01
Query 1	θ = 0.88	13344	0.308031
Query 2	θ = 0.88	108445	0.041673
Query 3	θ = 0.98	47570	0.155516
Query 1	θ = 0.48	56099	0.051249
Query 2	θ = 0.88	138788	0.030344
Query 1	θ = 0.98	128221	0.279004
Query 1	θ = 0.88	114883	0.249514
Query 1	θ = 0.48	93193	0.030824
Query 3	θ = 0.28	83591	0.01
Query 2	θ = 0.98	78532	0.054240
Query 2	θ = 0.28	65799	0.01
Query 2	θ = 0.78	3506	0.009705
Query 3	θ = 0.88	38193	0.224701
Query 2	θ = 0.78	251	0.010873
Query 2	θ = 0.28	70776	0.01
Query 2	θ = 0.78	101191	0.04
Query 1	θ = 0.78	140490	0.120755
Query 2	θ = 0.28	50512	0.02
Query 3	θ = 0.28	82570	0.01
Query 3	θ = 0.78	88405	0.116116
Query 3	θ = 0.48	131307	0.01
Query 2	θ = 0.28	41442	0.01
Query 1	θ = 0.78	33556	0.196191
Query 3	θ = 0.78	106237	0.108422
Query 2	θ = 0.48	89320	0.01
Query 1	θ = 0.98	31073	0.188414
Query 2	θ = 0.28	24527	0.01
Query 3	θ = 0.28	28052	0.01
Query 2	θ = 0.78	51261	0.03
Query 3	θ = 0.48	101459	0.000742
Query 3	θ = 0.78	104250	0.109258
Query 2	θ = 0.78	165013	0.04
Query 3	θ = 0.78	155176	0.089204
Query 2	θ = 0.88	91446	0.048645
Query 1	θ = 0.28	42341	0.01
Query 3	θ = 0.28	31524	0.01
Query 2	θ = 0.28	173724	0.01
Query 1	θ = 0.98	14052	0.164018
Query 2	θ = 0.98	169555	0.088306
Query 1	θ = 0.48	142234	0.007395
Query 2	θ = 0.88	65285	0.060338
Query 3	θ = 0.48	190752	0.01
